DateTime,Entries,UniqueIPs
1482902181,6299,6299
1482945849,6300,6300
1482989543,6307,6307
1483033208,6309,6309
1483076888,6313,6313
1483120569,6317,6317
1483207930,6319,6319
1483295289,6320,6320
1483338970,6321,6321
1483382649,6323,6323
1483426329,6324,6324
1483513692,6327,6327
1483557371,6331,6331
1483601049,6336,6336
1483644730,6339,6339
1483688411,6345,6345
1483776018,6346,6346
1483819692,6350,6350
1483863608,6355,6355
1483907528,6356,6356
1483951209,6360,6360
1483994890,6365,6365
1484038568,6367,6367
1484082249,6370,6370
1484125931,6373,6373
1484169609,6375,6375
1484213289,6377,6377
1484257209,6379,6379
1484344567,6385,6385
1484388251,6386,6386
1484431928,6387,6387
1484475609,6389,6389
1484519288,6394,6394
1484562968,6395,6395
1484606650,6405,6405
1484650330,6407,6407
1484694020,6415,6415
1484781369,6419,6419
1484825051,6422,6422
1484868728,6425,6425
1484912420,6427,6427
1484956330,6429,6429
1485000008,6431,6431
1485043692,6433,6433
1485087368,6435,6435
1485131050,6437,6437
1485174734,6441,6441
1485218409,6444,6444
1485262091,6446,6446
1485305769,6451,6451
1485349691,6452,6452
1485393608,6454,6454
1485481209,6455,6455
1485524888,6457,6457
1485568573,6458,6458
1485612490,6459,6459
1485700329,6461,6461
1485744010,6462,6462
1485787688,6464,6464
1485831368,6465,6465
1485875049,6469,6469
1485918728,6473,6473
1485962410,6474,6474
1486006089,6476,6476
1486049777,6477,6477
1486093449,6481,6481
1486137129,6483,6483
1486180816,6488,6488
1486224490,6489,6489
1486268410,6490,6490
1486312088,6492,6492
1486355783,6496,6496
1486443128,6497,6497
1486486815,6499,6499
1486530728,6502,6502
1486574648,6503,6503
1486618328,6504,6504
1486662011,6508,6508
1486705688,6510,6510
1486749369,6512,6512
1486836729,6514,6514
1486880410,6518,6518
1486924089,6520,6520
1487011448,6524,6524
1487055128,6526,6526
1487098811,6527,6527
1487142493,6529,6529
1487186170,6532,6532
1487229849,6535,6535
1487273530,6538,6538
1487317209,6542,6542
1487360888,6543,6543
1487404593,6544,6544
1487448247,6546,6546
1487579289,6547,6547
1487622968,6548,6548
1487666888,6551,6551
1487710569,6552,6552
1487754249,6553,6553
1487797934,6554,6554
1487841632,6557,6557
1487885288,6562,6562
1487928968,6564,6564
1487972650,6565,6565
1488016328,6566,6566
1488060017,6567,6567
1488103691,6569,6569
1488147375,6571,6571
1488191049,6576,6576
1488234727,6578,6578
1488278410,6581,6581
1488322087,6583,6583
1488365769,6588,6588
1488409449,6591,6591
1488453128,6593,6593
1488496812,6596,6596
1488540489,6599,6599
1488584649,6602,6602
1488628330,6606,6606
1488672013,6609,6609
1488759368,6610,6610
1488803050,6612,6612
1488890413,6613,6613
1488977769,6614,6614
1489021451,6615,6615
1489065129,6617,6617
1489108822,6618,6618
1489152490,6619,6619
1489283528,6623,6623
1489327212,6627,6627
1489370889,6630,6630
